name,latitude,longitude
Gò Mây,10.8134522,106.6007099
Cửa hàng Thảo Vân (Thành Vịnh),10.8082949,106.599622
Phát Đạt,10.7916713,106.5957591
Phát Đạt,10.7914299,106.5961043
Phú Cường,10.8042552,106.5984074
Hương Quê,10.7998508,106.5974815
Tô Ngọc Vân,10.8618955,106.6717916
Cây xăng Thạnh Xuân,10.8615801,106.6717546
Ngã tư Đình,10.8561432,106.6382386
Ngã tư Đình,10.8566031,106.6397735
Chùa Bửu Long,10.768924,106.5909601
Trạm điện Phú Lâm,10.7402013,106.5994626
Công ty Hai Thành,10.7421387,106.5987172
Ngã tư An Lạc,10.7289267,106.6068399
Nhà sách Tân Tạo,10.7580009,106.591445
Trạm xăng số 5,10.7578745,106.5918448
Khu công nghiệp Tân Tạo,10.753078,106.592655
Hoa Hồng - 771 Kinh Dương Vương,10.7266261,106.6052156
SinCo,10.7318159,106.6111166
Chợ An Dương Vương,10.7438863,106.6237778
Lý Chiêu Hoàng,10.7402512,106.6237093
Trạm Xe Bus Chợ Bình Phú,10.738744,106.6264169
Trạm Xe Bus Trường THCS Phú Định,10.7368595,106.6311997
Phạm Văn Chí,10.7389416,106.6335631
Metro Bình Phú,10.7416935,106.6309327
Cầu Phạm Văn Chí,10.7385833,106.635483
Trạm Xe Bus Công Ty CP Thực Phẩm Binh Tây,10.7401805,106.6385559
Trạm Xe Bus Chợ Bình Tiên,10.7426675,106.6429446
Trạm Xe Bus UBND Quận 6,10.7462686,106.6492534
Võ Văn Tần,10.7747207,106.6872266
Bệnh viện Mắt - Bình Dân - Da Liễu,10.7762332,106.684384
Công an Quận 3,10.7772828,106.6824599
Công trường Dân Chủ,10.7774253,106.6825349
Lý Thái Tổ,10.7670943,106.6792694
Chợ Bàn Cờ,10.7682516,106.6803738
Nguyễn Đình Chiểu,10.769645,106.6825102
Nguyễn Thị Nghĩa,10.7699494,106.6934155
Chợ Bến Thành,10.7726204,106.6992917
Mầm non Hoa Lư,10.7851929,106.7087129
Nguyễn Hữu Cảnh,10.7835232,106.7073585
Tân Cảng,10.7965163,106.71979
Hồ bơi Hải Quân,10.7891216,106.7107926
Hồ bơi Hải Quân,10.7894937,106.7106287
Chung cư Manor,10.793332,106.7184473
Nhà hát Thành phố,10.7780395,106.7035068
Bệnh viện Nhi đồng 2,10.7798555,106.701527
Trạm Xe Bus Sư Vạn Hạnh,10.7699578,106.6712238
Calmette,10.7678522,106.6992533
Cách mạng Tháng 8,10.7746712,106.6864365
